Posición,Equipo,PJ,G,P,PTS
1.,Rio Duero Soria,6,5,1,16
2.,Unicaja Almería,6,5,1,15
3.,Guaguas,6,5,1,14
4.,CV Teruel,6,5,1,12
5.,CV Melilla,5,4,1,11
6.,Cisneros Alter,6,3,3,11
7.,Conqueridor Valencia,6,3,3,9
8.,San Roque - Batán,5,2,3,5
9.,Voley Palma,6,1,5,5
10.,Manacor,6,1,5,4
11.,Arenal Emevé,5,0,5,0
12.,Santo Domingo VB Petrer,5,0,5,0
