Dorsal,Nombre,Posición,Año de nacimiento,ID
11,Pont Perello Guillem,Colocador/a,2002,122
16,Valiño Sanz Isaac,Receptor,1999,123
17,Igual Rabanete Javier,Opuesto,2002,124
18,Gámiz Padilla Aharón,Líbero,1988,125
20,Vildosola Mariano,Receptor,1991,126
22,Fresquet Barceló Xavier,Middle-blocker,2003,127
1,Carreño Millón Marco,Receptor,2004,128
2,Viera Iglesias Álvaro,Opuesto,2003,129
3,Rodríguez Pérez Víctor,Receptor,-,130
4,Moya Berenguel Alejandro,Líbero,2004,131
5,Fernández Martínez Francisco José,Líbero,1995,132
7,Bertassoni Paulo Renan,Colocador/a,1985,133
8,Fernández Jorge,Middle-blocker,1989,134
9,Neaves Matthew Michael,Opuesto,2000,135
10,Ruiz Garrido Francisco José,Receptor,1991,136
11,Fernández López Fernando,Middle-blocker,1997,137
12,Vizcaino Gallardo Javier,Colocador/a,2003,138
14,Ruiz Mira Borja,Middle-blocker,1992,139
1,Nieves Suárez Carlos,Receptor,2004,140
2,Grossi Anderson,Middle-blocker,1994,141
3,Funes Facundo Jesús,Receptor,1994,142
4,Monfort Minaya Javier,Receptor,1990,143
5,Allen Serrano Luis Vidal,Middle-blocker,2001,144
7,Mengod Bautista Fernando,Receptor,1993,145
10,Huerta Fabregat José Ignacio,Colocador/a,1998,146
12,Monfort Minaya Vicente,Colocador/a,1988,147
14,Pérez Lledó Pablo,Opuesto,2004,148
15,Dangel Mulen Armando,Opuesto,1989,149
18,Iborra Ballester Héctor,Líbero,2003,150
20,Postemsky Ivan,Middle-blocker,1992,151
21,Mengod Bautista Javier,Líbero,1996,152
22,Rabell Trullenque Carlos,Middle-blocker,2022,153
1,Da Cruz Neto Walter,Middle-blocker,1989,154
2,Lynard Oskar,Middle-blocker,1999,155
4,García Borrás Héctor,Colocador/a,1998,156
5,Grau Canto Joaquín José,Líbero,2004,157
7,Amorós Martín Arel,Middle-blocker,2007,158
9,Quesada Gómez Justo,Receptor,2007,159
10,Piqueres Flor Nestor,Líbero,1995,160
11,Piqueres Flor Eder,Colocador/a,1995,161
13,Pla Sánchez Alfredo,Receptor,2002,162
14,Osorio Recordá Gerard,Opuesto,1993,163
15,Marí Domene Álvaro,Middle-blocker,2002,164
17,Martínez Gómez Sergio,Opuesto,2002,165
20,Hernández Robeff Tomás Agustín,Receptor,1998,166
23,Jiménez Gallego Carlos,Receptor,1995,167
77,Fernández Rodríguez Francisco,Receptor,1996,168
